Player,Team,Opp,Pos,Pass Att,Pass Cmp,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD,Anytime TD,Fantasy Points
Patrick Mahomes II,KC,BAL,QB,36.5,24.2,268.5,2.10,0.65,3.8,18.5,0.20,0.0,0.0,0.0,0.00,0.20,20.4
Josh Allen,BUF,NYJ,QB,34.0,22.0,248.0,1.85,0.75,7.2,38.5,0.55,0.0,0.0,0.0,0.00,0.55,22.8
Lamar Jackson,BAL,KC,QB,29.5,19.2,224.0,1.60,0.50,9.5,55.0,0.45,0.0,0.0,0.0,0.00,0.45,21.9
Jalen Hurts,PHI,DAL,QB,31.0,20.5,235.0,1.50,0.60,8.0,42.0,0.70,0.0,0.0,0.0,0.00,0.70,22.1
C.J. Stroud,HOU,IND,QB,35.0,23.0,265.0,1.75,0.55,2.5,9.0,0.10,0.0,0.0,0.0,0.00,0.10,17.8
Joe Burrow,CIN,NE,QB,37.0,25.0,272.0,1.95,0.65,2.0,6.0,0.10,0.0,0.0,0.0,0.00,0.10,18.9
Tua Tagovailoa,MIA,JAX,QB,33.5,23.5,260.0,1.80,0.70,1.5,4.0,0.05,0.0,0.0,0.0,0.00,0.05,17.2
Jared Goff,DET,LAR,QB,35.5,24.0,270.0,1.85,0.60,1.0,2.0,0.05,0.0,0.0,0.0,0.00,0.05,17.5
Christian McCaffrey,SF,DET,RB,0.0,0.0,0.0,0.00,0.00,16.5,74.5,0.85,6.2,5.2,44.0,0.35,0.95,22.8
Derrick Henry,BAL,KC,RB,0.0,0.0,0.0,0.00,0.00,17.5,78.5,0.80,1.8,1.2,9.0,0.05,0.82,14.6
Breece Hall,NYJ,BUF,RB,0.0,0.0,0.0,0.00,0.00,15.0,64.0,0.55,5.5,4.5,36.0,0.25,0.70,17.9
Bijan Robinson,ATL,CAR,RB,0.0,0.0,0.0,0.00,0.00,16.0,72.0,0.65,4.8,3.8,32.0,0.20,0.75,18.1
Jahmyr Gibbs,DET,LAR,RB,0.0,0.0,0.0,0.00,0.00,13.5,60.5,0.55,4.5,3.6,28.5,0.20,0.68,16.2
Kenneth Walker III,SEA,DEN,RB,0.0,0.0,0.0,0.00,0.00,15.5,68.0,0.60,2.2,1.6,12.5,0.05,0.62,13.3
Saquon Barkley,PHI,DAL,RB,0.0,0.0,0.0,0.00,0.00,16.5,70.5,0.70,3.8,3.0,22.0,0.15,0.78,16.5
Travis Etienne Jr.,JAX,MIA,RB,0.0,0.0,0.0,0.00,0.00,14.5,58.0,0.50,4.0,3.1,24.0,0.15,0.60,14.7
CeeDee Lamb,DAL,PHI,WR,0.0,0.0,0.0,0.00,0.00,1.2,7.0,0.05,10.5,7.4,88.5,0.65,0.68,20.5
Tyreek Hill,MIA,JAX,WR,0.0,0.0,0.0,0.00,0.00,1.0,6.0,0.05,10.0,7.2,92.0,0.70,0.72,21.1
Ja'Marr Chase,CIN,NE,WR,0.0,0.0,0.0,0.00,0.00,0.8,4.5,0.05,9.8,6.8,84.0,0.60,0.62,19.3
Justin Jefferson,MIN,NYG,WR,0.0,0.0,0.0,0.00,0.00,0.5,3.0,0.00,10.2,7.0,89.0,0.60,0.60,19.8
Amon-Ra St. Brown,DET,LAR,WR,0.0,0.0,0.0,0.00,0.00,0.8,5.0,0.05,9.5,7.1,78.5,0.55,0.58,18.6
A.J. Brown,PHI,DAL,WR,0.0,0.0,0.0,0.00,0.00,0.5,2.0,0.00,8.8,5.8,76.0,0.50,0.50,16.4
Gabriel Davis,JAX,MIA,WR,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,5.5,3.2,46.5,0.30,0.30,9.7
Marvin Harrison Jr.,ARI,BUF,WR,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,8.2,5.2,66.0,0.45,0.45,14.5
Marquise Brown,KC,BAL,WR,0.0,0.0,0.0,0.00,0.00,0.5,3.0,0.00,6.8,4.4,52.0,0.35,0.35,11.7
Travis Kelce,KC,BAL,TE,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,7.8,5.8,62.5,0.55,0.55,15.4
George Kittle,SF,DET,TE,0.0,0.0,0.0,0.00,0.00,0.5,2.5,0.00,6.2,4.6,56.0,0.45,0.45,12.9
Sam LaPorta,DET,LAR,TE,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,6.5,4.8,51.0,0.45,0.45,12.6
Mark Andrews,BAL,KC,TE,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,6.0,4.3,48.5,0.45,0.45,11.9
Trey McBride,ARI,BUF,TE,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,7.2,5.4,54.0,0.35,0.35,12.9
Chigoziem Okonkwo,TEN,CHI,TE,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,4.8,3.4,36.0,0.20,0.20,8.2
