Player,Team,Market,Line,Over,Under,Bookmaker
Patrick Mahomes,KC,Pass Yds,268.5,-110,-110,Bet365
Patrick Mahomes,KC,Pass Yds,268.5,-122,+104,Pinnacle
Josh Allen,BUF,Pass Yds,242.5,-115,-105,Bet365
Josh Allen,BUF,Pass Yds,242.5,-110,-106,Pinnacle
Travis Kelce,KC,Rec Yds,62.5,-110,-110,Bet365
Travis Kelce,KC,Rec Yds,62.5,-120,+102,Pinnacle
Rashee Rice,KC,Rec Yds,56.5,-115,-105,Bet365
Isiah Pacheco,KC,Rush Yds,64.5,-115,-105,Bet365
James Cook,BUF,Rush Yds,58.5,-110,-110,Bet365
Gabe Davis,JAX,Rec Yds,44.5,-110,-110,Bet365
Marvin Harrison Jr.,ARI,Rec Yds,67.5,-110,-110,Bet365
Ja'Marr Chase,CIN,Rec Yds,82.5,-115,-105,Bet365
Amon-Ra St. Brown,DET,Rec Yds,78.5,-110,-110,Bet365
A.J. Brown,PHI,Rec Yds,74.5,-110,-110,Bet365
C.J. Stroud,HOU,Pass Yds,255.5,-110,-110,Bet365
Kenneth Walker III,SEA,Rush Yds,68.5,-115,-105,Bet365
Chigoziem Okonkwo,TEN,Rec Yds,34.5,-110,-110,Bet365
Tank Dell,HOU,Rec Yds,48.5,-110,-110,Bet365
